datetime,Buenos Aires,Capital Federal,Catamarca,Chaco,Chubut,Corrientes,Córdoba,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago Del Estero,Tierra Del Fuego,Tucumán
2014-1,54.5700728794398,112.254122789269,24.2517512545856,20.7185388638408,41.2352180797243,22.3167167138389,52.5178475440063,34.3671218212502,17.4184510793687,18.4153524468777,48.425321038282,16.2941048158375,31.9131229866058,23.1365386484773,49.7916051913856,44.9139571317885,,,,,,,,
2014-2,55.0614169514339,113.14335247541,24.7031188600584,20.9579963674944,41.4102098199126,22.5756130032436,53.448126115626,34.6874323714598,17.5404117548517,18.7060609994136,49.7075961603446,16.5025648163457,32.0982381502412,23.3677476012998,50.8427490584487,45.3349103201463,28.9145940008629,27.7826978179589,9.71791019987182,29.3770071530543,48.3903513867014,16.6955673473544,64.3560451715994,33.9445268856823
2014-3,56.754739164071,113.800512332415,24.7061213053276,21.1126667052624,40.5986709442745,22.7875350351524,54.2336102829994,34.981647333713,17.7713148314683,18.3685342155704,55.7812017385042,16.5067132740672,32.3131795616557,23.5673569543455,56.3954110270698,46.1961871578301,29.2226843537979,27.8542444781027,9.71121075967275,28.231942904275,49.1958844455727,16.4922039083019,65.6861020447619,33.9437558222181
2014-4,56.0943365301975,114.896765508016,25.513779082748,21.8707832002322,40.2492746845027,23.5624309927751,54.696896793323,36.0254708519679,17.9563113616952,19.5994181805212,51.2731334522286,17.0107508872361,32.6383818761503,24.1624306055883,52.5549896972496,45.478062751204,29.534861619578,28.0371457145607,9.7863933663512,27.8026789696523,49.9996230234827,17.2692015836451,66.1378194733832,35.3208751693282
2015-1,56.3704843302674,114.896997148903,25.1094663307876,26.6495912203056,37.6127806859079,28.9501912819093,54.6973465018821,42.0651933735121,18.1227036739718,19.6897136326236,55.5080323273377,16.7032017874138,32.3658875605183,26.3056041051906,51.9544367381025,45.3269490720278,30.0097882334428,27.5531927597664,9.71604896376059,27.9948639434945,50.2444947593192,17.0558169911586,74.2349517001027,35.0786068853898
2015-2,56.8028056143921,116.066270918604,25.4534180446982,27.4645393883995,36.5824672045848,29.5840126681085,55.8691635078182,42.9319790164588,18.3602672052786,20.2872190775949,56.7076652253,16.8831909819638,32.4919958318665,27.3476824488217,53.1173365932314,45.9761201343233,30.4611238427009,27.6430534204585,9.70797183720366,27.0722450274482,51.1765389086788,17.1105666329829,74.5078743166472,35.6877056091873
2015-3,57.6886810560801,118.28921116432,25.8637811846376,27.9630727934794,36.8118099146332,30.167412409019,57.0834037895185,43.6771816352633,18.8367517737853,21.2703333470887,57.9639597509152,17.1511294420325,32.4919958318665,28.3063450934369,54.5993148967112,46.3891866567451,31.1759452128584,27.66538565566,9.70650326873876,27.6060609834294,52.1459547408435,17.1188225313532,74.8584578403385,36.6103595277426
2015-4,58.2918218273372,118.130363211538,26.2394517885919,28.3505662351414,36.8901782778659,30.3364314453388,57.3648817660792,44.108548073001,19.0654915167863,21.4714737939107,58.7563372001228,17.3157786484107,32.4889524950014,28.6866588915424,58.2893377687955,46.4394811149431,31.5934926480719,27.6648539357743,9.70576898450631,27.7447690664797,52.6080897858581,17.0049780380361,66.4622043362379,37.0621732832959
2016-1,57.3359078225411,115.160058888848,25.9102179811905,28.0751464477524,36.0927055378499,30.0807850041331,55.2830927837402,43.8459681446623,19.0418783694349,21.410011288564,57.8408686550453,16.8335183724942,32.1233388880128,28.3676525909563,55.7539370042541,45.8351263870833,31.3155459711532,27.3307941100043,9.58634628277021,26.86586252145,51.2773408540762,16.205749206822,65.8330416313501,36.7247713663659
2016-2,59.3385267910581,120.039535048253,26.0741880597406,28.5935505552226,36.1243856555634,30.5801620466166,57.5479805282864,44.7388745451874,19.370070664564,21.8882810435767,60.4368602573793,16.8789026111115,32.1259717944259,29.239512823022,59.098285533662,46.2401130781274,32.081726025082,27.3407815140911,9.60373385160232,26.7289117253198,52.4364772593711,15.8889250473061,67.7182428825529,37.2356828933842
2016-3,60.1432954546882,120.772877751015,26.4806767574637,28.910749068481,36.1786944287865,31.0668788260512,58.243816258032,45.4351408844733,18.6397083028628,22.6051542652569,61.7317854365091,17.0745591064841,32.0883588456665,29.9053857758982,60.2148508885395,46.3879653621594,32.9558316811803,27.3171271359908,9.63053968688516,26.8352018954507,52.6721503688625,15.3296465784729,68.9404924910074,37.8973634102384
2016-4,61.2365874303569,120.631331736324,26.5435155899619,28.7866560852553,36.072905464279,30.9810703764977,57.696719154379,45.208402854677,19.8482360781639,22.6513870082414,63.016182768654,16.4553163840162,32.10735338479,29.7201498077974,60.8736672281991,46.3852103506557,32.6941197393755,27.2924214521971,9.64068243537056,27.0467602148458,52.191050237189,15.0678475104333,70.3052659053947,37.9807622036193
2017-1,58.5740024492033,108.369208365608,25.6593508380215,28.6216605384279,35.662220237763,30.9406001096441,57.6533295928744,44.9072736870412,19.8424891786459,22.7569859622323,62.6692810457516,16.1955241460542,31.8430127701797,29.522202363131,61.0230200678275,46.0295387411952,32.5754893148231,27.0367609884239,9.5455001936789,26.5249917378546,51.9701076920804,14.7021194933686,68.9197485128813,37.900160758941
