"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","998.5001","990.2455","1,004.7355","986.9038","","0.86%"
"10/01/2024","990.0000","970.0000","990.0000","969.5000","","2.22%"
"09/01/2024","968.5000","952.5000","969.9900","952.5000","","1.89%"
"08/01/2024","950.5000","932.0000","951.2400","931.5000","","2.15%"
"07/01/2024","930.5000","913.7500","932.2500","912.0000","","2.14%"
"06/01/2024","911.0000","897.0000","912.2450","895.2400","","1.73%"
"05/01/2024","895.5000","876.2250","895.7500","876.2250","","2.17%"
"04/01/2024","876.5000","857.5050","876.8700","857.5050","","2.22%"
"03/01/2024","857.4900","842.6500","857.7500","842.5800","","1.80%"
"02/01/2024","842.3000","826.6000","842.3700","826.5750","","1.94%"
"01/01/2024","826.3000","810.6500","826.3500","810.6250","","2.21%"
"12/01/2023","808.4500","360.5750","808.5000","360.5750","","124.29%"
"11/01/2023","360.4500","350.0250","360.5850","349.7950","","3.00%"
"10/01/2023","349.9500","350.0250","350.1000","349.7650","","-0.01%"
"09/01/2023","350.0000","350.0250","350.0900","349.7100","","0.01%"
"08/01/2023","349.9500","275.9500","350.0550","275.2750","","27.14%"
"07/01/2023","275.2500","258.5000","275.2850","257.8750","","7.23%"
"06/01/2023","256.7000","239.3650","256.7850","239.3450","","7.20%"
"05/01/2023","239.4700","222.5400","239.4850","222.5300","","7.56%"
"04/01/2023","222.6400","208.9000","222.6550","208.9000","","6.54%"
"03/01/2023","208.9800","197.5600","209.0050","197.1550","","6.00%"
"02/01/2023","197.1500","186.9000","197.2150","186.8950","","5.44%"
"01/01/2023","186.9800","177.6450","186.9900","177.6450","","5.79%"
"12/01/2022","176.7400","167.2200","177.1400","167.1850","","5.66%"
"11/01/2022","167.2800","156.8200","167.3500","156.8200","","6.62%"
"10/01/2022","156.8900","147.2500","156.9050","147.2500","","6.50%"
"09/01/2022","147.3100","138.6600","147.3350","138.6600","","6.19%"
"08/01/2022","138.7200","131.2000","138.7650","131.2000","","5.68%"
"07/01/2022","131.2600","125.4050","131.2950","125.3950","","4.83%"
"06/01/2022","125.2100","120.1400","125.2300","120.1400","","4.18%"
"05/01/2022","120.1900","115.2650","120.1950","115.2650","","4.23%"
"04/01/2022","115.3100","110.9550","115.3350","110.9550","","3.88%"
"03/01/2022","111.0000","107.4000","111.0700","107.3650","","3.36%"
"02/01/2022","107.3900","105.0723","107.4650","104.9800","","2.28%"
"01/01/2022","105.0000","103.0500","105.0400","102.6900","","2.26%"
"12/01/2021","102.6800","100.9400","102.7650","100.8900","","1.73%"
"11/01/2021","100.9300","99.6410","100.9750","99.6410","","1.31%"
"10/01/2021","99.6200","98.6515","99.7450","98.6515","","0.90%"
"09/01/2021","98.7300","97.6575","98.7650","97.6560","","1.01%"
"08/01/2021","97.7400","96.5750","97.7850","96.5700","","1.10%"
"07/01/2021","96.6800","95.6390","96.7200","95.6175","","1.02%"
"06/01/2021","95.7000","94.6185","95.7500","94.5750","","1.28%"
"05/01/2021","94.4900","93.4805","94.7040","93.2700","","1.21%"
